Faixa_Etaria;Enunciado;Opcao_A;Opcao_B;Opcao_C;Opcao_D;Resposta_Correta
15+;Quais são as raízes da equação x² - 10x + 16 = 0?;x = -8 e x = -6;x = 2 e x = 8;x = 3 e x = 7;x = -7 e x = -2;B
15+;Quais são as raízes da equação x² - 13x + 40 = 0?;x = -3 e x = 4;x = 5 e x = 8;x = -1 e x = 5;x = -5 e x = 5;B
15+;Quais são as raízes da equação x² - 1x - 2 = 0?;x = -7 e x = -4;x = -1 e x = 2;x = -7 e x = 6;x = -1 e x = 4;B
15+;Quais são as raízes da equação x² - 12x + 27 = 0?;x = -7 e x = 5;x = -6 e x = 1;x = -3 e x = 2;x = 3 e x = 9;D
15+;Quais são as raízes da equação x² - 6x + 5 = 0?;x = 2 e x = 6;x = 1 e x = 5;x = 0 e x = 7;x = -8 e x = -3;B
15+;Quais são as raízes da equação x² - 8x + 7 = 0?;x = -6 e x = 2;x = -7 e x = -1;x = -4 e x = 4;x = 1 e x = 7;D
15+;Quais são as raízes da equação x² - 4x - 21 = 0?;x = -7 e x = -1;x = -1 e x = 0;x = -3 e x = 7;x = -8 e x = -5;C
15+;Quais são as raízes da equação x² + 5x - 14 = 0?;x = -2 e x = 1;x = -7 e x = 2;x = -8 e x = 6;x = -6 e x = -1;B
15+;Quais são as raízes da equação x² - 9x + 20 = 0?;x = -8 e x = 4;x = -8 e x = -1;x = 4 e x = 5;x = 1 e x = 9;C
15+;Quais são as raízes da equação x² - 2x - 8 = 0?;x = -6 e x = -5;x = -2 e x = 4;x = -7 e x = 1;x = 0 e x = 8;B
15+;Quais são as raízes da equação x² - 16x + 63 = 0?;x = -7 e x = 3;x = -5 e x = 2;x = 7 e x = 9;x = -8 e x = -2;C
15+;Quais são as raízes da equação x² - 11x + 30 = 0?;x = -4 e x = 8;x = 5 e x = 6;x = -5 e x = 7;x = 2 e x = 9;B
15+;Quais são as raízes da equação x² - 3x - 28 = 0?;x = 2 e x = 6;x = -6 e x = 8;x = 2 e x = 7;x = -4 e x = 7;D
15+;Quais são as raízes da equação x² + 2x - 24 = 0?;x = -8 e x = 2;x = -8 e x = 6;x = -4 e x = 2;x = -6 e x = 4;D
15+;Quais são as raízes da equação x² - 6x - 7 = 0?;x = -1 e x = 7;x = -8 e x = 1;x = 3 e x = 6;x = 3 e x = 8;A
15+;Quais são as raízes da equação x² + 2x - 24 = 0?;x = 3 e x = 5;x = -8 e x = -2;x = -7 e x = -2;x = -6 e x = 4;D
15+;Quais são as raízes da equação x² + 4x - 12 = 0?;x = 7 e x = 8;x = -6 e x = 6;x = -6 e x = 2;x = 1 e x = 4;C
15+;Quais são as raízes da equação x² - 1x - 56 = 0?;x = -6 e x = -1;x = -2 e x = 3;x = -7 e x = 8;x = -1 e x = 2;C
15+;Quais são as raízes da equação x² - 3x - 40 = 0?;x = 2 e x = 9;x = -5 e x = 5;x = -5 e x = 8;x = 1 e x = 8;C
15+;Quais são as raízes da equação x² - 12x + 35 = 0?;x = 4 e x = 8;x = -7 e x = 0;x = 5 e x = 7;x = -5 e x = 2;C
15+;Quais são as raízes da equação x² - 7x - 8 = 0?;x = -1 e x = 8;x = -8 e x = -1;x = -2 e x = 2;x = -8 e x = 9;A
15+;Quais são as raízes da equação x² - 8x + 7 = 0?;x = 1 e x = 7;x = -5 e x = 6;x = 3 e x = 5;x = -6 e x = 2;A
15+;Quais são as raízes da equação x² - 12x + 32 = 0?;x = 1 e x = 2;x = -4 e x = -3;x = 4 e x = 8;x = 3 e x = 6;C
15+;Quais são as raízes da equação x² - 7x + 10 = 0?;x = -4 e x = 0;x = 4 e x = 8;x = -2 e x = 0;x = 2 e x = 5;D
15+;Quais são as raízes da equação x² - 1x - 6 = 0?;x = -7 e x = -5;x = -6 e x = -2;x = -4 e x = 4;x = -2 e x = 3;D
15+;Quais são as raízes da equação x² + 2x - 48 = 0?;x = -1 e x = 4;x = -7 e x = 5;x = -5 e x = 5;x = -8 e x = 6;D
15+;Quais são as raízes da equação x² - 6x + 5 = 0?;x = 3 e x = 6;x = 1 e x = 5;x = -3 e x = 3;x = -7 e x = -5;B
15+;Quais são as raízes da equação x² - 11x + 28 = 0?;x = 4 e x = 7;x = -6 e x = 0;x = -7 e x = 4;x = 3 e x = 4;A
15+;Quais são as raízes da equação x² - 9x + 14 = 0?;x = -6 e x = 4;x = 2 e x = 7;x = -4 e x = 7;x = -4 e x = 4;B
15+;Quais são as raízes da equação x² - 13x + 40 = 0?;x = -2 e x = 9;x = 2 e x = 8;x = 5 e x = 8;x = -3 e x = 4;C
15+;Quais são as raízes da equação x² - 2x - 48 = 0?;x = -3 e x = 1;x = -1 e x = 3;x = -8 e x = -1;x = -6 e x = 8;D
15+;Quais são as raízes da equação x² - 3x - 54 = 0?;x = 5 e x = 7;x = -6 e x = 9;x = -5 e x = 5;x = -5 e x = 9;B
15+;Quais são as raízes da equação x² - 6x + 8 = 0?;x = 2 e x = 4;x = -7 e x = -5;x = 3 e x = 5;x = -1 e x = 7;A
15+;Quais são as raízes da equação x² - 11x + 28 = 0?;x = -7 e x = 2;x = -6 e x = 8;x = -1 e x = 0;x = 4 e x = 7;D
15+;Quais são as raízes da equação x² + 5x - 6 = 0?;x = -1 e x = 7;x = 2 e x = 7;x = -6 e x = 1;x = 2 e x = 8;C
15+;Quais são as raízes da equação x² - 4x - 45 = 0?;x = -5 e x = 0;x = 1 e x = 9;x = -5 e x = 9;x = -5 e x = 2;C
15+;Quais são as raízes da equação x² + 2x - 8 = 0?;x = -6 e x = -5;x = 6 e x = 9;x = -7 e x = 9;x = -4 e x = 2;D
15+;Quais são as raízes da equação x² + 1x - 12 = 0?;x = -8 e x = 6;x = -4 e x = 3;x = 5 e x = 8;x = -2 e x = 3;B
15+;Quais são as raízes da equação x² - 11x + 28 = 0?;x = 2 e x = 5;x = 1 e x = 3;x = 4 e x = 7;x = -4 e x = 0;C
15+;Quais são as raízes da equação x² - 7x - 8 = 0?;x = -1 e x = 3;x = -2 e x = 9;x = -1 e x = 8;x = -8 e x = -6;C
15+;Quais são as raízes da equação x² + 5x - 24 = 0?;x = -5 e x = -3;x = -5 e x = 6;x = 6 e x = 8;x = -8 e x = 3;D
15+;Quais são as raízes da equação x² + 3x - 10 = 0?;x = -7 e x = 6;x = 1 e x = 8;x = -5 e x = 2;x = 2 e x = 7;C
15+;Quais são as raízes da equação x² + 3x - 40 = 0?;x = 5 e x = 8;x = -1 e x = 3;x = 0 e x = 6;x = -8 e x = 5;D
15+;Quais são as raízes da equação x² - 1 = 0?;x = -3 e x = 5;x = -4 e x = 1;x = -1 e x = 1;x = -8 e x = 1;C
15+;Quais são as raízes da equação x² - 2x - 3 = 0?;x = 7 e x = 9;x = -1 e x = 5;x = -1 e x = 3;x = -4 e x = 7;C
15+;Quais são as raízes da equação x² - 14x + 48 = 0?;x = 7 e x = 8;x = -8 e x = 1;x = -8 e x = -4;x = 6 e x = 8;D
15+;Quais são as raízes da equação x² - 4x - 21 = 0?;x = -3 e x = 7;x = -5 e x = 9;x = -5 e x = -4;x = -6 e x = 5;A
15+;Quais são as raízes da equação x² + 1x - 42 = 0?;x = -2 e x = 2;x = 1 e x = 8;x = 0 e x = 1;x = -7 e x = 6;D
15+;Quais são as raízes da equação x² - 7x - 8 = 0?;x = -1 e x = 8;x = -2 e x = 0;x = -4 e x = 7;x = -2 e x = 8;A
15+;Quais são as raízes da equação x² - 9x + 18 = 0?;x = 3 e x = 6;x = 2 e x = 5;x = 0 e x = 3;x = -5 e x = 7;A
15+;Quais são as raízes da equação x² - 9x + 20 = 0?;x = 4 e x = 5;x = -7 e x = -5;x = -1 e x = 9;x = 0 e x = 4;A
15+;Quais são as raízes da equação x² - 3x - 10 = 0?;x = -7 e x = -1;x = -2 e x = 5;x = 6 e x = 9;x = 3 e x = 8;B
15+;Quais são as raízes da equação x² - 14x + 45 = 0?;x = 5 e x = 9;x = 2 e x = 9;x = 1 e x = 2;x = -3 e x = 0;A
15+;Quais são as raízes da equação x² - 10x + 21 = 0?;x = -2 e x = 3;x = -5 e x = 1;x = 3 e x = 7;x = 4 e x = 9;C
15+;Quais são as raízes da equação x² - 1x - 72 = 0?;x = -6 e x = 4;x = -8 e x = 9;x = 0 e x = 7;x = -8 e x = -4;B
15+;Quais são as raízes da equação x² - 6x - 27 = 0?;x = -3 e x = 9;x = -7 e x = 5;x = -6 e x = 1;x = -7 e x = -6;A
15+;Quais são as raízes da equação x² + 4x - 21 = 0?;x = -8 e x = 4;x = 2 e x = 3;x = -7 e x = 3;x = -3 e x = 3;C
15+;Quais são as raízes da equação x² + 2x - 3 = 0?;x = -6 e x = 4;x = -7 e x = 9;x = -1 e x = 1;x = -3 e x = 1;D
15+;Quais são as raízes da equação x² - 1x - 56 = 0?;x = -7 e x = 8;x = 1 e x = 6;x = -6 e x = 1;x = -1 e x = 5;A
15+;Quais são as raízes da equação x² - 25 = 0?;x = -3 e x = 8;x = -1 e x = 8;x = -5 e x = 5;x = 7 e x = 9;C
15+;Quais são as raízes da equação x² + 6x - 16 = 0?;x = -8 e x = 2;x = -6 e x = -3;x = 0 e x = 6;x = 3 e x = 6;A
15+;Quais são as raízes da equação x² - 7x + 6 = 0?;x = 1 e x = 6;x = -8 e x = 0;x = -5 e x = 0;x = -5 e x = -1;A
15+;Quais são as raízes da equação x² - 12x + 35 = 0?;x = -3 e x = 3;x = -4 e x = -2;x = 5 e x = 7;x = -3 e x = 0;C
15+;Quais são as raízes da equação x² + 5x - 6 = 0?;x = -6 e x = 1;x = -7 e x = -2;x = -6 e x = 6;x = 4 e x = 9;A
15+;Quais são as raízes da equação x² + 1x - 6 = 0?;x = -5 e x = 0;x = -3 e x = 2;x = -5 e x = 1;x = 3 e x = 7;B
15+;Quais são as raízes da equação x² - 5x - 14 = 0?;x = -4 e x = -3;x = -7 e x = 5;x = -2 e x = 7;x = -2 e x = 4;C
15+;Quais são as raízes da equação x² + 2x - 24 = 0?;x = 1 e x = 6;x = -6 e x = 4;x = -5 e x = 7;x = -1 e x = 4;B
15+;Quais são as raízes da equação x² - 9x + 20 = 0?;x = -8 e x = 9;x = -2 e x = 9;x = 4 e x = 7;x = 4 e x = 5;D
15+;Quais são as raízes da equação x² - 11x + 28 = 0?;x = -4 e x = -3;x = -8 e x = 3;x = 4 e x = 7;x = -8 e x = 4;C
15+;Quais são as raízes da equação x² - 9 = 0?;x = 4 e x = 9;x = -8 e x = -2;x = -3 e x = 3;x = -7 e x = 0;C
15+;Quais são as raízes da equação x² - 12x + 32 = 0?;x = -7 e x = -5;x = 4 e x = 8;x = 6 e x = 8;x = -2 e x = 3;B
15+;Quais são as raízes da equação x² - 4x + 3 = 0?;x = -4 e x = 7;x = 2 e x = 8;x = 1 e x = 3;x = -6 e x = 2;C
15+;Quais são as raízes da equação x² - 1x - 6 = 0?;x = 1 e x = 6;x = -7 e x = -4;x = -2 e x = 3;x = -1 e x = 9;C
15+;Quais são as raízes da equação x² + 6x - 7 = 0?;x = 5 e x = 9;x = -6 e x = -1;x = -7 e x = 1;x = 2 e x = 3;C
15+;Quais são as raízes da equação x² - 12x + 32 = 0?;x = -6 e x = -2;x = -4 e x = 2;x = 4 e x = 8;x = -7 e x = 4;C
15+;Quais são as raízes da equação x² - 1x - 56 = 0?;x = 0 e x = 1;x = -7 e x = 8;x = -8 e x = 1;x = -5 e x = -1;B
15+;Quais são as raízes da equação x² - 1x - 56 = 0?;x = -7 e x = 8;x = -4 e x = 8;x = -8 e x = -3;x = 7 e x = 9;A
15+;Quais são as raízes da equação x² - 8x + 7 = 0?;x = -4 e x = 8;x = 0 e x = 6;x = 1 e x = 7;x = -6 e x = 8;C
15+;Quais são as raízes da equação x² - 7x + 10 = 0?;x = 1 e x = 3;x = -8 e x = -1;x = 0 e x = 1;x = 2 e x = 5;D
15+;Quais são as raízes da equação x² - 9x + 18 = 0?;x = -1 e x = 1;x = -7 e x = -2;x = -6 e x = 4;x = 3 e x = 6;D
15+;Quais são as raízes da equação x² - 4x + 3 = 0?;x = -4 e x = -3;x = 1 e x = 3;x = -6 e x = 6;x = 5 e x = 8;B
15+;Quais são as raízes da equação x² + 1x - 56 = 0?;x = -5 e x = 3;x = -8 e x = 4;x = -8 e x = 7;x = -3 e x = 5;C
15+;Quais são as raízes da equação x² - 2x - 8 = 0?;x = -4 e x = 1;x = -1 e x = 5;x = -6 e x = 8;x = -2 e x = 4;D
15+;Quais são as raízes da equação x² + 4x - 21 = 0?;x = -3 e x = 1;x = 2 e x = 7;x = 1 e x = 3;x = -7 e x = 3;D
15+;Quais são as raízes da equação x² - 5x + 6 = 0?;x = -8 e x = 9;x = -4 e x = 9;x = -8 e x = 4;x = 2 e x = 3;D
15+;Quais são as raízes da equação x² - 2x - 3 = 0?;x = -7 e x = -1;x = -8 e x = 5;x = -7 e x = 7;x = -1 e x = 3;D
15+;Quais são as raízes da equação x² - 8x - 9 = 0?;x = -7 e x = 6;x = -1 e x = 9;x = -4 e x = -1;x = 5 e x = 9;B
15+;Quais são as raízes da equação x² - 4x - 12 = 0?;x = -2 e x = 6;x = 1 e x = 8;x = -7 e x = -3;x = 2 e x = 6;A
15+;Quais são as raízes da equação x² - 5x - 36 = 0?;x = -7 e x = 9;x = -6 e x = -5;x = -8 e x = -2;x = -4 e x = 9;D
15+;Quais são as raízes da equação x² + 1x - 20 = 0?;x = -5 e x = 4;x = -7 e x = -1;x = 1 e x = 8;x = -6 e x = 6;A
15+;Quais são as raízes da equação x² + 1x - 42 = 0?;x = -3 e x = 3;x = -7 e x = 6;x = -7 e x = -6;x = -7 e x = 5;B
15+;Quais são as raízes da equação x² - 11x + 30 = 0?;x = -5 e x = 1;x = 5 e x = 6;x = -5 e x = -4;x = -2 e x = -1;B
15+;Quais são as raízes da equação x² - 11x + 30 = 0?;x = -6 e x = 9;x = 5 e x = 6;x = 0 e x = 5;x = 1 e x = 2;B
15+;Quais são as raízes da equação x² + 2x - 8 = 0?;x = -6 e x = 2;x = -8 e x = 1;x = -4 e x = 2;x = 5 e x = 8;C
15+;Quais são as raízes da equação x² + 3x - 4 = 0?;x = -4 e x = 1;x = -8 e x = 7;x = -2 e x = 6;x = 7 e x = 9;A
15+;Quais são as raízes da equação x² - 8x + 7 = 0?;x = -8 e x = -6;x = 1 e x = 7;x = -8 e x = -7;x = 3 e x = 7;B
15+;Quais são as raízes da equação x² + 3x - 40 = 0?;x = -1 e x = 5;x = -7 e x = 3;x = -8 e x = 5;x = -3 e x = 7;C
15+;Quais são as raízes da equação x² - 11x + 28 = 0?;x = 4 e x = 9;x = -8 e x = -5;x = 4 e x = 7;x = -5 e x = 6;C
15+;Quais são as raízes da equação x² - 12x + 32 = 0?;x = 5 e x = 7;x = -7 e x = -5;x = 4 e x = 8;x = 1 e x = 2;C
15+;Quais são as raízes da equação x² - 2x - 63 = 0?;x = -7 e x = 9;x = -6 e x = -1;x = -3 e x = -1;x = -7 e x = 2;A
15+;Quais são as raízes da equação x² - 2x - 15 = 0?;x = -3 e x = 5;x = -4 e x = -3;x = 4 e x = 5;x = -4 e x = 7;A
15+;Quais são as raízes da equação x² - 9x + 20 = 0?;x = 0 e x = 9;x = 4 e x = 5;x = -6 e x = 4;x = -5 e x = -1;B
15+;Quais são as raízes da equação x² + 2x - 48 = 0?;x = -8 e x = 6;x = -7 e x = 6;x = 0 e x = 1;x = -8 e x = 0;A
15+;Quais são as raízes da equação x² - 4x - 32 = 0?;x = -8 e x = -2;x = -6 e x = -3;x = -4 e x = 8;x = 1 e x = 8;C
15+;Quais são as raízes da equação x² - 2x - 35 = 0?;x = -5 e x = 7;x = 6 e x = 8;x = 1 e x = 4;x = -5 e x = -2;A
15+;Quais são as raízes da equação x² - 12x + 35 = 0?;x = 3 e x = 5;x = -4 e x = 8;x = 5 e x = 7;x = 6 e x = 8;C
15+;Quais são as raízes da equação x² - 2x - 48 = 0?;x = -6 e x = 3;x = 1 e x = 4;x = -6 e x = 8;x = 6 e x = 9;C
15+;Quais são as raízes da equação x² - 2x - 8 = 0?;x = 1 e x = 8;x = -2 e x = 4;x = 1 e x = 4;x = -6 e x = 2;B
15+;Quais são as raízes da equação x² + 4x - 12 = 0?;x = -7 e x = -1;x = -4 e x = -1;x = -6 e x = 2;x = -1 e x = 8;C
15+;Quais são as raízes da equação x² - 7x + 12 = 0?;x = 2 e x = 9;x = 4 e x = 6;x = 3 e x = 4;x = -7 e x = 2;C
15+;Quais são as raízes da equação x² - 10x + 21 = 0?;x = 3 e x = 7;x = -7 e x = -1;x = 3 e x = 6;x = -7 e x = 8;A
15+;Quais são as raízes da equação x² - 13x + 42 = 0?;x = -3 e x = 5;x = -5 e x = 9;x = -3 e x = 3;x = 6 e x = 7;D
15+;Quais são as raízes da equação x² - 4x - 21 = 0?;x = -1 e x = 1;x = -1 e x = 8;x = 7 e x = 9;x = -3 e x = 7;D
15+;Quais são as raízes da equação x² - 8x + 15 = 0?;x = -2 e x = 8;x = 3 e x = 5;x = -3 e x = 1;x = -2 e x = -1;B
15+;Quais são as raízes da equação x² + 3x - 28 = 0?;x = 4 e x = 6;x = -2 e x = 9;x = -7 e x = 4;x = -5 e x = 1;C
15+;Quais são as raízes da equação x² - 15x + 56 = 0?;x = 3 e x = 6;x = 7 e x = 8;x = 1 e x = 5;x = -1 e x = 5;B
15+;Quais são as raízes da equação x² + 2x - 35 = 0?;x = -7 e x = 5;x = -4 e x = -3;x = -4 e x = 8;x = -1 e x = 1;A
15+;Quais são as raízes da equação x² + 1x - 12 = 0?;x = -7 e x = -2;x = 3 e x = 8;x = -4 e x = 3;x = -8 e x = 6;C
15+;Quais são as raízes da equação x² - 11x + 24 = 0?;x = -2 e x = 5;x = -3 e x = 4;x = 3 e x = 8;x = -1 e x = 4;C
15+;Quais são as raízes da equação x² - 8x + 12 = 0?;x = -3 e x = 5;x = 2 e x = 6;x = 4 e x = 9;x = -7 e x = 7;B
15+;Quais são as raízes da equação x² - 15x + 54 = 0?;x = -7 e x = 0;x = 6 e x = 9;x = -4 e x = 5;x = 4 e x = 7;B
15+;Quais são as raízes da equação x² - 11x + 24 = 0?;x = 3 e x = 8;x = -3 e x = 5;x = -2 e x = 2;x = 0 e x = 7;A
15+;Quais são as raízes da equação x² - 3x - 10 = 0?;x = 2 e x = 8;x = -2 e x = 5;x = 4 e x = 8;x = -1 e x = 1;B
15+;Quais são as raízes da equação x² - 8x + 12 = 0?;x = -2 e x = -1;x = 2 e x = 6;x = 0 e x = 5;x = -6 e x = 0;B
15+;Quais são as raízes da equação x² - 6x - 7 = 0?;x = -6 e x = 6;x = 3 e x = 7;x = -1 e x = 7;x = 1 e x = 8;C
15+;Quais são as raízes da equação x² - 3x + 2 = 0?;x = 1 e x = 2;x = -6 e x = 1;x = -1 e x = 8;x = -8 e x = -2;A
15+;Quais são as raízes da equação x² - 1x - 12 = 0?;x = -7 e x = 8;x = -2 e x = 5;x = -5 e x = 3;x = -3 e x = 4;D
15+;Quais são as raízes da equação x² - 7x + 6 = 0?;x = 1 e x = 6;x = -4 e x = 5;x = 5 e x = 7;x = 0 e x = 6;A
15+;Quais são as raízes da equação x² - 10x + 21 = 0?;x = 5 e x = 7;x = -4 e x = 3;x = -4 e x = 5;x = 3 e x = 7;D
15+;Quais são as raízes da equação x² + 2x - 8 = 0?;x = -4 e x = 2;x = -5 e x = 0;x = -8 e x = 3;x = -8 e x = 8;A
15+;Quais são as raízes da equação x² - 13x + 42 = 0?;x = 6 e x = 7;x = 0 e x = 7;x = 5 e x = 7;x = 2 e x = 3;A
15+;Quais são as raízes da equação x² - 3x - 28 = 0?;x = -4 e x = 7;x = -1 e x = 3;x = -7 e x = -4;x = 1 e x = 7;A
15+;Quais são as raízes da equação x² - 10x + 21 = 0?;x = 1 e x = 2;x = 3 e x = 7;x = -1 e x = 7;x = -7 e x = 6;B
15+;Quais são as raízes da equação x² + 3x - 10 = 0?;x = 7 e x = 8;x = 6 e x = 8;x = -5 e x = 2;x = -5 e x = 6;C
15+;Quais são as raízes da equação x² - 3x + 2 = 0?;x = -6 e x = -4;x = 1 e x = 2;x = -7 e x = -4;x = -4 e x = -2;B
15+;Quais são as raízes da equação x² + 5x - 14 = 0?;x = -6 e x = -1;x = -7 e x = 2;x = -6 e x = 1;x = 0 e x = 1;B
15+;Quais são as raízes da equação x² - 4x - 5 = 0?;x = -4 e x = 4;x = -1 e x = 5;x = -8 e x = -3;x = -3 e x = 4;B
15+;Quais são as raízes da equação x² - 13x + 42 = 0?;x = 0 e x = 7;x = -7 e x = -5;x = 6 e x = 7;x = -7 e x = -4;C
15+;Quais são as raízes da equação x² - 12x + 35 = 0?;x = -4 e x = -3;x = -3 e x = 9;x = 5 e x = 7;x = 4 e x = 9;C
15+;Quais são as raízes da equação x² - 5x + 4 = 0?;x = 3 e x = 8;x = -6 e x = 4;x = 1 e x = 4;x = -7 e x = -6;C
15+;Quais são as raízes da equação x² + 4x - 12 = 0?;x = -1 e x = 3;x = -3 e x = 2;x = -5 e x = -1;x = -6 e x = 2;D
15+;Quais são as raízes da equação x² - 3x + 2 = 0?;x = -6 e x = -1;x = -8 e x = -7;x = 1 e x = 2;x = -8 e x = 7;C
15+;Quais são as raízes da equação x² - 2x - 24 = 0?;x = 4 e x = 5;x = -4 e x = 6;x = -6 e x = 8;x = -2 e x = -1;B
15+;Quais são as raízes da equação x² - 1x - 72 = 0?;x = -7 e x = 0;x = -8 e x = 9;x = -8 e x = 5;x = -7 e x = 9;B
15+;Quais são as raízes da equação x² - 8x + 15 = 0?;x = 0 e x = 9;x = 3 e x = 5;x = 0 e x = 8;x = 3 e x = 4;B
15+;Quais são as raízes da equação x² - 10x + 24 = 0?;x = -8 e x = 5;x = -2 e x = 2;x = -3 e x = -2;x = 4 e x = 6;D
15+;Quais são as raízes da equação x² - 5x - 36 = 0?;x = -8 e x = -7;x = -4 e x = 9;x = -4 e x = 6;x = 8 e x = 9;B
15+;Quais são as raízes da equação x² - 16 = 0?;x = -7 e x = 3;x = 8 e x = 9;x = -6 e x = -4;x = -4 e x = 4;D
15+;Quais são as raízes da equação x² - 8x + 15 = 0?;x = -4 e x = 5;x = 3 e x = 5;x = -5 e x = 2;x = -2 e x = -1;B
15+;Quais são as raízes da equação x² - 16x + 63 = 0?;x = 7 e x = 9;x = -7 e x = 8;x = -6 e x = 4;x = 5 e x = 8;A
15+;Quais são as raízes da equação x² + 4x - 12 = 0?;x = -6 e x = 2;x = -7 e x = 4;x = -8 e x = 2;x = -3 e x = -1;A
15+;Quais são as raízes da equação x² - 9x + 20 = 0?;x = -2 e x = -1;x = -5 e x = -2;x = 4 e x = 5;x = 0 e x = 4;C
15+;Quais são as raízes da equação x² - 4x - 21 = 0?;x = 5 e x = 7;x = -1 e x = 8;x = -3 e x = 7;x = -8 e x = 3;C
15+;Quais são as raízes da equação x² - 8x + 7 = 0?;x = -4 e x = 6;x = 7 e x = 9;x = 1 e x = 7;x = -5 e x = 7;C
15+;Quais são as raízes da equação x² + 4x - 21 = 0?;x = -7 e x = 3;x = 0 e x = 3;x = 2 e x = 4;x = -8 e x = 0;A
15+;Quais são as raízes da equação x² - 7x + 10 = 0?;x = 5 e x = 8;x = 2 e x = 5;x = -6 e x = 5;x = 1 e x = 5;B
15+;Quais são as raízes da equação x² + 2x - 48 = 0?;x = -4 e x = 6;x = -1 e x = 6;x = -1 e x = 3;x = -8 e x = 6;D
15+;Quais são as raízes da equação x² + 1x - 20 = 0?;x = -7 e x = -5;x = 3 e x = 4;x = -3 e x = 6;x = -5 e x = 4;D
15+;Quais são as raízes da equação x² - 4x - 32 = 0?;x = -8 e x = 0;x = -4 e x = 8;x = -5 e x = -3;x = -6 e x = 7;B
15+;Quais são as raízes da equação x² - 16x + 63 = 0?;x = 7 e x = 9;x = -3 e x = 2;x = -6 e x = 3;x = -8 e x = -5;A
15+;Quais são as raízes da equação x² + 6x - 16 = 0?;x = -5 e x = 6;x = -8 e x = 2;x = -5 e x = -1;x = 5 e x = 7;B
15+;Quais são as raízes da equação x² - 7x + 12 = 0?;x = 3 e x = 4;x = -3 e x = 9;x = -7 e x = 2;x = -8 e x = -4;A
15+;Quais são as raízes da equação x² - 6x + 8 = 0?;x = -1 e x = 4;x = 0 e x = 4;x = 6 e x = 7;x = 2 e x = 4;D
15+;Quais são as raízes da equação x² - 8x + 15 = 0?;x = 0 e x = 8;x = -4 e x = 7;x = -4 e x = 8;x = 3 e x = 5;D
15+;Quais são as raízes da equação x² - 6x + 8 = 0?;x = -8 e x = 5;x = -7 e x = -5;x = 2 e x = 4;x = -4 e x = -2;C
15+;Quais são as raízes da equação x² - 12x + 27 = 0?;x = -1 e x = 2;x = -7 e x = 9;x = 0 e x = 9;x = 3 e x = 9;D
15+;Qual é o valor de log de 100 na base 10?;2;12;5;8;A
15+;Qual é o valor de log de 4 na base 2?;7;2;9;12;B
15+;Qual é o valor de log de 25 na base 5?;16;2;11;7;B
15+;Qual é o valor de log de 625 na base 5?;17;8;4;18;C
15+;Qual é o valor de log de 8 na base 2?;3;2;6;13;A
15+;Qual é o valor de log de 27 na base 3?;17;3;6;9;B
15+;Qual é o valor de log de 8 na base 2?;16;3;1;9;B
15+;Qual é o valor de log de 81 na base 3?;9;4;17;15;B
15+;Qual é o valor de log de 27 na base 3?;7;9;3;8;C
15+;Qual é o valor de log de 3125 na base 5?;11;15;8;5;D
15+;Qual é o valor de log de 27 na base 3?;1;4;3;9;C
15+;Qual é o valor de log de 100 na base 10?;2;10;14;9;A
15+;Qual é o valor de log de 3125 na base 5?;15;4;5;2;C
15+;Qual é o valor de log de 243 na base 3?;11;1;5;13;C
15+;Qual é o valor de log de 100000 na base 10?;5;12;7;15;A
15+;Qual é o valor de log de 100 na base 10?;2;3;10;5;A
15+;Qual é o valor de log de 243 na base 3?;2;17;11;5;D
15+;Qual é o valor de log de 100 na base 10?;7;3;8;2;D
15+;Qual é o valor de log de 9 na base 3?;5;2;15;9;B
15+;Qual é o valor de log de 25 na base 5?;2;3;16;13;A
15+;Qual é o valor de log de 81 na base 3?;18;16;2;4;D
15+;Qual é o valor de log de 27 na base 3?;12;3;9;5;B
15+;Qual é o valor de log de 1000 na base 10?;9;10;3;5;C
15+;Qual é o valor de log de 16 na base 2?;4;18;8;7;A
15+;Qual é o valor de log de 16 na base 2?;6;7;3;4;D
15+;Qual é o valor de log de 10000 na base 10?;7;4;12;3;B
15+;Qual é o valor de log de 81 na base 3?;2;13;10;4;D
15+;Qual é o valor de log de 81 na base 3?;9;3;1;4;D
15+;Qual é o valor de log de 125 na base 5?;3;17;2;14;A
15+;Qual é o valor de log de 625 na base 5?;3;1;6;4;D
15+;Qual é o valor de log de 1000 na base 10?;16;6;4;3;D
15+;Qual é o valor de log de 243 na base 3?;16;7;5;6;C
15+;Qual é o valor de log de 243 na base 3?;18;5;11;9;B
15+;Qual é o valor de log de 16 na base 2?;18;6;4;15;C
15+;Qual é o valor de log de 27 na base 3?;3;14;9;1;A
15+;Qual é o valor de log de 81 na base 3?;4;16;6;15;A
15+;Qual é o valor de log de 125 na base 5?;6;3;12;17;B
15+;Qual é o valor de log de 27 na base 3?;3;8;15;17;A
15+;Qual é o valor de log de 4 na base 2?;2;10;9;7;A
15+;Qual é o valor de log de 243 na base 3?;5;15;9;3;A
15+;Qual é o valor de log de 32 na base 2?;3;5;2;6;B
15+;Qual é o valor de log de 32 na base 2?;18;10;5;16;C
15+;Qual é o valor de log de 125 na base 5?;7;2;17;3;D
15+;Qual é o valor de log de 1000 na base 10?;3;13;8;5;A
15+;Qual é o valor de log de 243 na base 3?;8;15;1;5;D
15+;Qual é o valor de log de 9 na base 3?;16;2;1;10;B
15+;Qual é o valor de log de 100000 na base 10?;19;5;12;1;B
